ID,四川话原句,称谓,en_gold_human,pred_english_lora_mbart,model_address_rendering,error_label,称谓类型,称谓类型中文,auto_note,标注理由,人工复核
ADDR_001,所以说养成老习惯的看到老严来了他本人心中有个这个习惯甚至就是不是自己屋头的亲生妈老汉儿他,妈老汉儿,parents,"So he said that he had a habit in his own mind, even if it was not his own home.",,Omitted,kinship,亲属称谓,no clear English rendering of the target address term,人工标注认为“妈老汉儿”应体现为“parents”，但模型译文中没有明显对应的人称称谓或近义表达；因此判断为称谓被省略。,
ADDR_002,嫂子在扣你吗我一天是管不住他我喊大姐过过来制止他这摔摔摔老汉儿,老汉儿,dad,"My sister is holding you? I can't handle him one day, and I call my grandmother to stop him.",grandmother,Other,kinship,亲属称谓,wrong or shifted person/address rendering,模型译文中出现了“grandmother”，说明它没有完全省略称谓；但该表达与人工标注“dad”不一致，属于称谓类别、人物关系、性别/身份或情感色彩发生偏移。,
ADDR_003,其实我对你也没得啥子要求的就像你看到的那个像我老汉儿对我妈恁个好就行了,老汉儿,dad,"In fact, I don't have anything to ask of you, like the one you saw, like my old man, is good for my mother.",old man,Preserved,kinship,亲属称谓,matches human target or accepted synonym,模型译文中出现了“old man”，与人工标注“dad”相同或属于可接受近义译法；因此判断为保留了“老汉儿”的主要称谓/语用功能。,
ADDR_004,你老汉儿不傻眼泪只是有点儿发披风哟西,老汉儿,dad,"You don't have tos, you just have a little bit of tears.",,Omitted,kinship,亲属称谓,no clear English rendering of the target address term,人工标注认为“老汉儿”应体现为“dad”，但模型译文中没有明显对应的人称称谓或近义表达；因此判断为称谓被省略。,
ADDR_005,老汉儿天气越来冷了哈是农村比城头要低两对儿,老汉儿,dad,"It's getting cold, it's two times lower in the country than in the city.",,Omitted,kinship,亲属称谓,no clear English rendering of the target address term,人工标注认为“老汉儿”应体现为“dad”，但模型译文中没有明显对应的人称称谓或近义表达；因此判断为称谓被省略。,
ADDR_006,哎呀娃娃对不对嘛脱脂开汗其实老汉儿也着急坏说转来,老汉儿,dad,"Oh, isn't it right to get rid of fat and sweat?",,Omitted,kinship,亲属称谓,no clear English rendering of the target address term,人工标注认为“老汉儿”应体现为“dad”，但模型译文中没有明显对应的人称称谓或近义表达；因此判断为称谓被省略。,
ADDR_007,说你瓜你就瓜半夜起来烧院把人家的婆娘你喊妈李百姓把我拉到,婆娘,wife,"When you say you're going to get up in the middle of the night and burn the house, you call the people and drag me to the house.",,Omitted,kinship,亲属称谓,no clear English rendering of the target address term,人工标注认为“婆娘”应体现为“wife”，但模型译文中没有明显对应的人称称谓或近义表达；因此判断为称谓被省略。,
ADDR_008,所以学到这个知识还是有好处别人两口子怄气你今天突然回去刚刚才进门才进院吧在小区门口就听到你婆娘的声音老子不得怕你死娃子随便你随便你,婆娘,wife,"So it's good to learn this knowledge, because you're both angry and angry. You're going home today, and you've just entered the house. At the door of the neighborhood, you hear your grandmother's voice.",grandmother,Other,kinship,亲属称谓,wrong or shifted person/address rendering,模型译文中出现了“grandmother”，说明它没有完全省略称谓；但该表达与人工标注“wife”不一致，属于称谓类别、人物关系、性别/身份或情感色彩发生偏移。,
ADDR_009,嘿老头头啷个回事我婆娘啷个杀了一个啊阿伦哪个飞到天上去了呀哎呀忙碌了一天又要结束了女儿先快点进棚棚嘿狗儿爬开老子关门了关了关紧回去我婆娘还在屋头给我炖猪脚杆我炖猪脚干,婆娘,wife,"Hey old man, what's going on? My grandmother's killing a man, who's flying to heaven? Oh, the day's work is over, my daughter, hurry up and go to the shelter.",grandmother,Other,kinship,亲属称谓,wrong or shifted person/address rendering,模型译文中出现了“grandmother”，说明它没有完全省略称谓；但该表达与人工标注“wife”不一致，属于称谓类别、人物关系、性别/身份或情感色彩发生偏移。,
ADDR_010,求那些师傅啊张娘王娘李婆婆帮忙找七十岁以上的就是妈老汉儿做主,妈老汉儿,parents,"Ask those who are masters, to the master of the master's house, who is over seventy years old.",master,Other,kinship,亲属称谓,wrong or shifted person/address rendering,模型译文中出现了“master”，说明它没有完全省略称谓；但该表达与人工标注“parents”不一致，属于称谓类别、人物关系、性别/身份或情感色彩发生偏移。,
ADDR_011,第二天上妆更服帖耶你个婆娘还懂得享受啊啊,婆娘,girl/ bitch,"The next day, you're a woman who knows how to enjoy.",woman,Other,kinship,亲属称谓,different plausible or shifted rendering; check manually,模型译文中出现了“woman”，说明它没有完全省略称谓；但该表达与人工标注“girl/ bitch”不一致，属于称谓类别、人物关系、性别/身份或情感色彩发生偏移。,
ADDR_012,嗯嗯多少整哎呀哎做起简单好生学哦说了我找婆娘要得,婆娘,wife,"How much is it? It's easy to learn, and I'm going to find my grandmother.",grandmother,Other,kinship,亲属称谓,wrong or shifted person/address rendering,模型译文中出现了“grandmother”，说明它没有完全省略称谓；但该表达与人工标注“wife”不一致，属于称谓类别、人物关系、性别/身份或情感色彩发生偏移。,
ADDR_013,再批话惨你两耳屎来堂客吃饭还是热和的搞快点吃等下冷噶了了了,堂客,home,"It's awkward, and you're going to have a good time, and it's going to be cold.",,Omitted,kinship,亲属称谓,no clear English rendering of the target address term,人工标注认为“堂客”应体现为“home”，但模型译文中没有明显对应的人称称谓或近义表达；因此判断为称谓被省略。,
ADDR_014,哪里的酒美心哦我中午没得没吃酒是哪个老杂皮在和你堂客在吃我劝都劝不住,堂客,wife,Where's the wine? I don't have to eat wine at noon.,,Omitted,kinship,亲属称谓,no clear English rendering of the target address term,人工标注认为“堂客”应体现为“wife”，但模型译文中没有明显对应的人称称谓或近义表达；因此判断为称谓被省略。,
ADDR_015,这个跟工大建那个堂客赖上了各人心头都有点着急生怕百姓误会了正在那个时候从屋头就出来一个老者把堂客都往屋头推都说吹点儿进屋去不要在那里丢人了然后就给跟公达说了个牙呀请进一步说话,堂客,married woman,"This man and the man who built the house, and the people were in a hurry, fearing that the people would be mistaken. At that time, an old man came out of the house and pushed the people into the house.",man,Other,kinship,亲属称谓,wrong or shifted person/address rendering,模型译文中出现了“man”，说明它没有完全省略称谓；但该表达与人工标注“married woman”不一致，属于称谓类别、人物关系、性别/身份或情感色彩发生偏移。,
ADDR_016,葫芦娃葫芦娃一个挂上七个藤啦啦啦哎老婆你咋求妈妈回去住两天屋头去住两天,老婆,wife,You're going to your mother's house for two days.,mother,Other,kinship,亲属称谓,wrong or shifted person/address rendering,模型译文中出现了“mother”，说明它没有完全省略称谓；但该表达与人工标注“wife”不一致，属于称谓类别、人物关系、性别/身份或情感色彩发生偏移。,
ADDR_017,可以照顾妈妈我跟婆婆两个人就来砍油菜,婆婆,mother-in-law,"I can take care of my mother, and I and my mother-in-law are going to cut oil.",mother-in-law,Preserved,kinship,亲属称谓,matches human target or accepted synonym,模型译文中出现了“mother-in-law”，与人工标注“mother-in-law”相同或属于可接受近义译法；因此判断为保留了“婆婆”的主要称谓/语用功能。,
ADDR_018,我婆婆妈也在楼上帮忙有点安慰安快阿姨,婆婆,mother-in-law,My mother helped me upstairs to comfort my aunt.,mother,Other,kinship,亲属称谓,wrong or shifted person/address rendering,模型译文中出现了“mother”，说明它没有完全省略称谓；但该表达与人工标注“mother-in-law”不一致，属于称谓类别、人物关系、性别/身份或情感色彩发生偏移。,
ADDR_019,李婆婆哦嘿人家觉得娃娃对咋子咹回来看爸嘛哎呀想到我妈他们那样的,婆婆,granny,"My mother, my mother, they think that's what they do.",mother,Other,kinship,亲属称谓,wrong or shifted person/address rendering,模型译文中出现了“mother”，说明它没有完全省略称谓；但该表达与人工标注“granny”不一致，属于称谓类别、人物关系、性别/身份或情感色彩发生偏移。,
ADDR_020,一手将鱼是是是我晓得你老大姐的爸爸没得落户,爸爸,dad,I know your elder sister's father didn't have to go home.,father,Preserved,kinship,亲属称谓,matches human target or accepted synonym,模型译文中出现了“father”，与人工标注“dad”相同或属于可接受近义译法；因此判断为保留了“爸爸”的主要称谓/语用功能。,
ADDR_021,爸爸好爸爸哎来了要来要来了小米阿姨你好呀好乖哦,爸爸,dad,"Oh, oh, oh oh oh.",,Omitted,kinship,亲属称谓,no clear English rendering of the target address term,人工标注认为“爸爸”应体现为“dad”，但模型译文中没有明显对应的人称称谓或近义表达；因此判断为称谓被省略。,
ADDR_022,不是我爸爸拿回来我爸爸拿回的嗯不是是我阿姨让父亲怎么说,爸爸,dad,"It wasn't my dad who brought it back, it was not my aunt who let her father.",dad,Preserved,kinship,亲属称谓,matches human target or accepted synonym,模型译文中出现了“dad”，与人工标注“dad”相同或属于可接受近义译法；因此判断为保留了“爸爸”的主要称谓/语用功能。,
ADDR_023,那张丽的爸爸妈妈呢都是成都市的政府干部好来源于政府家庭她从小呢这个家教也非常严好她以前喃呢,爸爸,dad,"Her parents were urban government officials, and she came from a government family. She was a child, and her teaching was very strict.",child,Other,kinship,亲属称谓,wrong or shifted person/address rendering,模型译文中出现了“child”，说明它没有完全省略称谓；但该表达与人工标注“dad”不一致，属于称谓类别、人物关系、性别/身份或情感色彩发生偏移。,
ADDR_024,Um妈妈妈妈啊啦啦啦妈妈谢谢OhUm嗯Um嗯好的不是Um爸爸嗯不是快点AUm来好Yeah嗯加油嗯拜拜嗯Um好OhUm,爸爸,dad,"Oh, oh, oh oh oh ah ah ah, thank you. Oh oh oh no, oh no no, no no no.",,Omitted,kinship,亲属称谓,no clear English rendering of the target address term,人工标注认为“爸爸”应体现为“dad”，但模型译文中没有明显对应的人称称谓或近义表达；因此判断为称谓被省略。,
ADDR_025,耗子哥哥我把妈妈找回来了我还会游人嘞你看我还会这样丢,妈妈,mom,"My brother, I'm going to find my mother again, and I'll be with you, and you'll see me like this.",mother,Preserved,kinship,亲属称谓,matches human target or accepted synonym,模型译文中出现了“mother”，与人工标注“mom”相同或属于可接受近义译法；因此判断为保留了“妈妈”的主要称谓/语用功能。,
ADDR_026,你又无法理解跟我们爸跟我们妈妈摆龙门阵或时说我在给我们妈摆龙门阵已经不一样了,妈妈,mom,"You can't understand that's not the same as our parents and our mothers, or that when I told my mother, it was different.",mother,Preserved,kinship,亲属称谓,matches human target or accepted synonym,模型译文中出现了“mother”，与人工标注“mom”相同或属于可接受近义译法；因此判断为保留了“妈妈”的主要称谓/语用功能。,
ADDR_027,属于妈老汉太能干的娃娃公正点说除了读书读得起我们不管哈他,妈老汉,parents,It's fair to say that we don't care about anything other than reading.,,Omitted,kinship,亲属称谓,no clear English rendering of the target address term,人工标注认为“妈老汉”应体现为“parents”，但模型译文中没有明显对应的人称称谓或近义表达；因此判断为称谓被省略。,
ADDR_028,就喊妈老汉出点钱屋子出点钱出去留个学是么这反正时差都倒倒一样样,妈老汉,parents,You're going to school? It's going to be like that.,,Omitted,kinship,亲属称谓,no clear English rendering of the target address term,人工标注认为“妈老汉”应体现为“parents”，但模型译文中没有明显对应的人称称谓或近义表达；因此判断为称谓被省略。,
ADDR_029,出去妇女稀班巴王的回来手手都不想洗想抓了个饭菜吃老妈呢最后老汉拿帕子把它俩撞两下嘛硬是稀脏八脏的的,老汉,dad,"When the Queen came out, she didn't want to wash her hands, and she wanted to eat a meal.",,Omitted,kinship,亲属称谓,no clear English rendering of the target address term,人工标注认为“老汉”应体现为“dad”，但模型译文中没有明显对应的人称称谓或近义表达；因此判断为称谓被省略。,
ADDR_030,比如很简单的道理你的父母跟你一路遇到过危险的时候当娃娃突然死脚摘下舍身带的时候也许那一瞬间妈老汉一碰就按过来了就抓你那水,妈老汉,parents,"For example, the simple reason is that when your parents are in danger along with you, when the doll suddenly dies and takes off her belt, maybe in that moment, the mother-in-law will touch you and grab your water.",parents,Preserved,kinship,亲属称谓,matches human target or accepted synonym,模型译文中出现了“parents”，与人工标注“parents”相同或属于可接受近义译法；因此判断为保留了“妈老汉”的主要称谓/语用功能。,
ADDR_031,说嘞些你兄弟伙恁个多一个臭点儿就行了噻现在不好借钱喽,兄弟伙,dude,It's not good to borrow money now.,,Omitted,solidarity,亲近/同伴称呼,no clear English rendering of the target address term,人工标注认为“兄弟伙”应体现为“dude”，但模型译文中没有明显对应的人称称谓或近义表达；因此判断为称谓被省略。,
ADDR_032,正常挺好跟你说旁边那个兄弟伙哈我粉丝我也在打招呼反正那个也吃不完了我哈在乡上我都走了好我我走了我走了今天好点我知道了好拜拜好诶新年快乐哈新年快乐我走了好拜拜好,兄弟伙,dude,"It's okay to tell you about the brother next to you, my fans are also saying goodbye, but that's not finished either. I've been to the countryside, and I'm going, I'll go today, I know better.",bro,Preserved,solidarity,亲近/同伴称呼,matches human target or accepted synonym,模型译文中出现了“bro”，与人工标注“dude”相同或属于可接受近义译法；因此判断为保留了“兄弟伙”的主要称谓/语用功能。,
ADDR_033,指名点姓的要见我哈我当时你晓得噻嘞个样子我吓到了噻哥老倌找我会有啥子事喃,哥老倌,bro,You know what I was so scared that the old lady asked me what I had to do.,old lady,Other,solidarity,亲近/同伴称呼,wrong or shifted person/address rendering,模型译文中出现了“old lady”，说明它没有完全省略称谓；但该表达与人工标注“bro”不一致，属于称谓类别、人物关系、性别/身份或情感色彩发生偏移。,
ADDR_034,我的所有粉丝朋友们感谢你们昨天对我的关心,粉丝朋友,fans,All of my fans thank you for your concern for me yesterday.,fans,Preserved,solidarity,亲近/同伴称呼,matches human target or accepted synonym,模型译文中出现了“fans”，与人工标注“fans”相同或属于可接受近义译法；因此判断为保留了“粉丝朋友”的主要称谓/语用功能。,
ADDR_035,又一个楼盘降价了都是我收了房子之前春节的时候单价一万二现在单价只要一万两房总价七十口三房八十几口四房一百一十几棵开发商那次我真的是下雪饼之前为什么我不要拍太贵了现在降价了我觉得值得了兄弟伙些我觉得这次我们要开发商弄痛而且还可以生分期以省分期,兄弟伙些,dude/ bro/guys,"The price of the second floor has been reduced since I bought the house before the Spring Festival, when the price was 12, and now only 12, with a total price of 70, three, eighty, four, and eleven.",,Omitted,solidarity,亲近/同伴称呼,no clear English rendering of the target address term,人工标注认为“兄弟伙些”应体现为“dude/ bro/guys”，但模型译文中没有明显对应的人称称谓或近义表达；因此判断为称谓被省略。,
ADDR_036,希望你金榜题名那个粉丝朋友他说川哥能助力我高考理想的重庆大学吗,粉丝朋友,fan,I hope that fan friend of yours said that Kawago could help me with the ideal Chongqing University.,fan,Preserved,solidarity,亲近/同伴称呼,matches human target or accepted synonym,模型译文中出现了“fan”，与人工标注“fan”相同或属于可接受近义译法；因此判断为保留了“粉丝朋友”的主要称谓/语用功能。,
ADDR_037,四姐跟他女婿买衣服了哎碰到我们的朋友粉丝朋友给我优惠了谢谢你支持嗯你还是给我买一件哦好要得好,粉丝朋友,fans,"My four sisters and their son-in-law bought clothes, and met our friends, fans, and gave me a discount, thank you for your support, and you'll buy me one, and I'll be fine.",fans,Preserved,solidarity,亲近/同伴称呼,matches human target or accepted synonym,模型译文中出现了“fans”，与人工标注“fans”相同或属于可接受近义译法；因此判断为保留了“粉丝朋友”的主要称谓/语用功能。,
ADDR_038,大家好我是老尹粉丝朋友要找一个离你近点儿的客户今天他来了这车是幺六年九月上户二零一六款一点六t自动双离合dct七速变速箱自动大天窗后排在出风口恒温分期空调整齐座椅四万公里路路,粉丝朋友,fans,"Hello, I'm a fan of the old, and I want to find a customer close to you, and he's here today. This is a car from the last month of September.",fan,Preserved,solidarity,亲近/同伴称呼,matches human target or accepted synonym,模型译文中出现了“fan”，与人工标注“fans”相同或属于可接受近义译法；因此判断为保留了“粉丝朋友”的主要称谓/语用功能。,
ADDR_039,朋友们二娃家的纸箱到了看嘛货车都来了,朋友们,guys,"My friends, the paper boxes came, look, the trucks came.",friends,Preserved,solidarity,亲近/同伴称呼,matches human target or accepted synonym,模型译文中出现了“friends”，与人工标注“guys”相同或属于可接受近义译法；因此判断为保留了“朋友们”的主要称谓/语用功能。,
ADDR_040,建威将军英明传朋友们大家说同仁怎么样,朋友们,guys,General Cheung told his friends what about his colleagues.,friends,Preserved,solidarity,亲近/同伴称呼,matches human target or accepted synonym,模型译文中出现了“friends”，与人工标注“guys”相同或属于可接受近义译法；因此判断为保留了“朋友们”的主要称谓/语用功能。,
ADDR_041,拿钱来购买好朋友们今天耗子哥趁热度的直播,朋友们,guys,"I'm going to buy some money, my friends, today is a hot time.",friends,Preserved,solidarity,亲近/同伴称呼,matches human target or accepted synonym,模型译文中出现了“friends”，与人工标注“guys”相同或属于可接受近义译法；因此判断为保留了“朋友们”的主要称谓/语用功能。,
ADDR_042,一下接上来朋友们都担心老爸子在屋头没有人照顾,朋友们,guys,My friends are worried that my father is not in the house.,friends,Preserved,solidarity,亲近/同伴称呼,matches human target or accepted synonym,模型译文中出现了“friends”，与人工标注“guys”相同或属于可接受近义译法；因此判断为保留了“朋友们”的主要称谓/语用功能。,
ADDR_043,这真正的蜂王浆朋友们让你们见识一下什么叫蜂王浆,朋友们,guys,"This is a real bee, friends, let me show you what bee is.",friends,Preserved,solidarity,亲近/同伴称呼,matches human target or accepted synonym,模型译文中出现了“friends”，与人工标注“guys”相同或属于可接受近义译法；因此判断为保留了“朋友们”的主要称谓/语用功能。,
ADDR_044,觉得我绝对是做不到任何人都做不到啊拿你朋友的口吻我跟你说哈你啊兄弟我这辈子都没见过你这种男人啊啊,兄弟,man,"I feel like I can't do it, and no one can do it. Take your friend's kiss, and I'll tell you, brother, I've never seen a man like you in my life.",man,Preserved,solidarity,亲近/同伴称呼,matches human target or accepted synonym,模型译文中出现了“man”，与人工标注“man”相同或属于可接受近义译法；因此判断为保留了“兄弟”的主要称谓/语用功能。,
ADDR_045,从此以后试卷儿就开始封闭找遍整个中国只有我们那儿吃得到九十八四斤的耙耙虾金汤花园有个不会算账的大排档老板外面九十八一斤的耙耙虾在他那儿可以吃四斤还有椒盐香辣两个味道可以选对于喜欢吃粑粑虾的来说真的太满足了超独特的肥肠包大葱也一定要试哈吃起特别香还有来凤鱼鼻山图那些江湖菜味道也很不错凌晨四点大晚上的和兄弟伙些在坝坝头喝着雪花纯生吃着耙耙虾嘞个才叫安逸哦,兄弟伙些,dudes/guys,"From then on, the test rolls began to be closed, searched all over China, and only we could eat nine hundred and eighty-four kilograms of rice. In the golden rice garden, there was a big table, and outside there was nineteen and one kilogram of rice, which he could eat four kilograms.",,Omitted,solidarity,亲近/同伴称呼,no clear English rendering of the target address term,人工标注认为“兄弟伙些”应体现为“dudes/guys”，但模型译文中没有明显对应的人称称谓或近义表达；因此判断为称谓被省略。,
ADDR_046,那个酒店我们最后还有一天的厕所时间现在居然下雪了啊我们现在正在抓紧的复活中那一车是一个大足粉丝朋友早上很早就过来拉的拉了几车了啊然后货不多了没见到他好的朋友们可以点个关注啊视线评论论,粉丝朋友,fans,"It's snowed out of the hotel, and we're in the middle of a recovery, and the car is a big fan, a friend came early in the morning and pulled a few cars, and then there was not much, and I didn't see his good friends.",fan,Preserved,solidarity,亲近/同伴称呼,matches human target or accepted synonym,模型译文中出现了“fan”，与人工标注“fans”相同或属于可接受近义译法；因此判断为保留了“粉丝朋友”的主要称谓/语用功能。,
ADDR_047,你看好冷超冷兄弟们而且里面有那种爆浆,兄弟,dude/ bro/guys,"You're a cooler brother, and there's a bubble in there.",bro,Preserved,solidarity,亲近/同伴称呼,matches human target or accepted synonym,模型译文中出现了“bro”，与人工标注“dude/ bro/guys”相同或属于可接受近义译法；因此判断为保留了“兄弟”的主要称谓/语用功能。,
ADDR_048,拿给弄一下哎兄弟在哪都你不要兄弟游戏啊,兄弟,dude/ bro/guys,You don't want to play brother games?,bro,Preserved,solidarity,亲近/同伴称呼,matches human target or accepted synonym,模型译文中出现了“bro”，与人工标注“dude/ bro/guys”相同或属于可接受近义译法；因此判断为保留了“兄弟”的主要称谓/语用功能。,
ADDR_049,嘿兄弟问你个问题他们都说我长得很帅你觉得,兄弟,dude/ bro/guys,"My brother asked me a question, and they said I was very handsome, and you felt like it.",bro,Preserved,solidarity,亲近/同伴称呼,matches human target or accepted synonym,模型译文中出现了“bro”，与人工标注“dude/ bro/guys”相同或属于可接受近义译法；因此判断为保留了“兄弟”的主要称谓/语用功能。,
