ID,四川话原句,称谓,命中称谓,称谓类型,称谓类型中文,模型1输出,模型2输出,模型3输出,称谓翻译结果,错误类型,分析备注,input_file,utt_or_id,filename,source_file,matched_terms_original,text_length
ADDR_001,所以说养成老习惯的看到老严来了他本人心中有个这个习惯甚至就是不是自己屋头的亲生妈老汉儿他,妈老汉儿,妈老汉儿 老汉儿 老汉 妈,kinship,亲属称谓,,,,,,,train_9800,0131655215_y5LD4_109_7840,0131655215_y5LD4_109_7840.wav,wsc_train_audio_text.tsv.gz,妈老汉儿 自己 这个 本人 他,44
ADDR_002,嫂子在扣你吗我一天是管不住他我喊大姐过过来制止他这摔摔摔老汉儿,老汉儿,老汉儿 老汉 大姐 嫂子,kinship,亲属称谓,,,,,,,train_9800,013165531783_pydL0_4_6420,013165531783_pydL0_4_6420.wav,wsc_train_audio_text.tsv.gz,老汉儿 大姐 嫂子 你 我 他,31
ADDR_003,其实我对你也没得啥子要求的就像你看到的那个像我老汉儿对我妈恁个好就行了,老汉儿,老汉儿 老汉 妈,kinship,亲属称谓,,,,,,,train_9800,013165464118_5J9OE_15_7140,013165464118_5J9OE_15_7140.wav,wsc_train_audio_text.tsv.gz,老汉儿 那个 你 我 妈,35
ADDR_004,你老汉儿不傻眼泪只是有点儿发披风哟西,老汉儿,老汉儿 老汉,kinship,亲属称谓,,,,,,,train_9800,013165533303_1AfVc_22_5780,013165533303_1AfVc_22_5780.wav,wsc_train_audio_text.tsv.gz,老汉儿 你,18
ADDR_005,老汉儿天气越来冷了哈是农村比城头要低两对儿,老汉儿,老汉儿 老汉,kinship,亲属称谓,,,,,,,train_9800,016000181362_uIDYs_5_5900,016000181362_uIDYs_5_5900.wav,wsc_train_audio_text.tsv.gz,老汉儿,21
ADDR_006,哎呀娃娃对不对嘛脱脂开汗其实老汉儿也着急坏说转来,老汉儿,老汉儿 老汉,kinship,亲属称谓,,,,,,,train_9800,01316552094_2CnlA_103_6100,01316552094_2CnlA_103_6100.wav,wsc_train_audio_text.tsv.gz,老汉儿 娃娃,24
ADDR_007,说你瓜你就瓜半夜起来烧院把人家的婆娘你喊妈李百姓把我拉到,婆娘,婆娘 妈,kinship,亲属称谓,,,,,,,train_9800,013165528200_N83ZB_100_8080,013165528200_N83ZB_100_8080.wav,wsc_train_audio_text.tsv.gz,人家 婆娘 你 我 妈,28
ADDR_008,所以学到这个知识还是有好处别人两口子怄气你今天突然回去刚刚才进门才进院吧在小区门口就听到你婆娘的声音老子不得怕你死娃子随便你随便你,婆娘,婆娘 两口子,kinship,亲属称谓,,,,,,,train_9800,sc0005379_507550_520900,sc0005379_507550_520900.wav,wsc_train_audio_text.tsv.gz,两口子 死娃子 老子 这个 别人 婆娘 你,65
ADDR_009,嘿老头头啷个回事我婆娘啷个杀了一个啊阿伦哪个飞到天上去了呀哎呀忙碌了一天又要结束了女儿先快点进棚棚嘿狗儿爬开老子关门了关了关紧回去我婆娘还在屋头给我炖猪脚杆我炖猪脚干,婆娘,婆娘 女儿,kinship,亲属称谓,,,,,,,train_9800,sc1002993_25170_40670,sc1002993_25170_40670.wav,wsc_train_audio_text.tsv.gz,老子 哪个 老头 婆娘 女儿 我,83
ADDR_010,求那些师傅啊张娘王娘李婆婆帮忙找七十岁以上的就是妈老汉儿做主,妈老汉儿,妈老汉儿 老汉儿 老汉 婆婆 妈,kinship,亲属称谓,,,,,,,train_9800,013165443988_ID2ls_56_8900,013165443988_ID2ls_56_8900.wav,wsc_train_audio_text.tsv.gz,妈老汉儿 婆婆 师傅 娘,30
ADDR_011,第二天上妆更服帖耶你个婆娘还懂得享受啊啊,婆娘,婆娘,kinship,亲属称谓,,,,,,,train_9800,016000150401_AMRec_10_5660,016000150401_AMRec_10_5660.wav,wsc_train_audio_text.tsv.gz,婆娘 你,20
ADDR_012,嗯嗯多少整哎呀哎做起简单好生学哦说了我找婆娘要得,婆娘,婆娘,kinship,亲属称谓,,,,,,,train_9800,cq00019515_228850_237210,cq00019515_228850_237210.wav,wsc_train_audio_text.tsv.gz,婆娘 我,24
ADDR_013,再批话惨你两耳屎来堂客吃饭还是热和的搞快点吃等下冷噶了了了,堂客,堂客,kinship,亲属称谓,,,,,,,train_9800,01600022157_g21IE_2_8720,01600022157_g21IE_2_8720.wav,wsc_train_audio_text.tsv.gz,堂客 你,29
ADDR_014,哪里的酒美心哦我中午没得没吃酒是哪个老杂皮在和你堂客在吃我劝都劝不住,堂客,堂客,kinship,亲属称谓,,,,,,,train_9800,013165524502_Lzi9R_13_7340,013165524502_Lzi9R_13_7340.wav,wsc_train_audio_text.tsv.gz,堂客 哪个 你 我,34
ADDR_015,这个跟工大建那个堂客赖上了各人心头都有点着急生怕百姓误会了正在那个时候从屋头就出来一个老者把堂客都往屋头推都说吹点儿进屋去不要在那里丢人了然后就给跟公达说了个牙呀请进一步说话,堂客,堂客,kinship,亲属称谓,,,,,,,train_9800,cq0040675_338870_360780,cq0040675_338870_360780.wav,wsc_train_audio_text.tsv.gz,堂客 那个 这个 各人,87
ADDR_016,葫芦娃葫芦娃一个挂上七个藤啦啦啦哎老婆你咋求妈妈回去住两天屋头去住两天,老婆,老婆 妈妈 妈,kinship,亲属称谓,,,,,,,train_9800,cq0054301_100_11650,cq0054301_100_11650.wav,wsc_train_audio_text.tsv.gz,妈妈 老婆 你,35
ADDR_017,可以照顾妈妈我跟婆婆两个人就来砍油菜,婆婆,婆婆 妈妈 妈,kinship,亲属称谓,,,,,,,train_9800,013165439115_vAlRS_1_5960,013165439115_vAlRS_1_5960.wav,wsc_train_audio_text.tsv.gz,婆婆 妈妈 个人 我,18
ADDR_018,我婆婆妈也在楼上帮忙有点安慰安快阿姨,婆婆,婆婆 阿姨 妈,kinship,亲属称谓,,,,,,,train_9800,013165436406_WEC3h_18_5900,013165436406_WEC3h_18_5900.wav,wsc_train_audio_text.tsv.gz,阿姨 婆婆 我 妈,18
ADDR_019,李婆婆哦嘿人家觉得娃娃对咋子咹回来看爸嘛哎呀想到我妈他们那样的,婆婆,婆婆 爸 妈,kinship,亲属称谓,,,,,,,train_9800,013165487319_QdZSk_74_7660,013165487319_QdZSk_74_7660.wav,wsc_train_audio_text.tsv.gz,他们 人家 婆婆 娃娃 我 爸 妈,31
ADDR_020,一手将鱼是是是我晓得你老大姐的爸爸没得落户,爸爸,爸爸 大姐 爸,kinship,亲属称谓,,,,,,,train_9800,016000196724_uP1ag_15_5660,016000196724_uP1ag_15_5660.wav,wsc_train_audio_text.tsv.gz,大姐 爸爸 你 我,21
ADDR_021,爸爸好爸爸哎来了要来要来了小米阿姨你好呀好乖哦,爸爸,爸爸 阿姨 爸,kinship,亲属称谓,,,,,,,train_9800,01316545588_fGTkE_20_8260,01316545588_fGTkE_20_8260.wav,wsc_train_audio_text.tsv.gz,阿姨 爸爸 你,23
ADDR_022,不是我爸爸拿回来我爸爸拿回的嗯不是是我阿姨让父亲怎么说,爸爸,爸爸 阿姨 爸,kinship,亲属称谓,,,,,,,train_9800,013165505776_DZVcT_28_6500,013165505776_DZVcT_28_6500.wav,wsc_train_audio_text.tsv.gz,阿姨 爸爸 我,27
ADDR_023,那张丽的爸爸妈妈呢都是成都市的政府干部好来源于政府家庭她从小呢这个家教也非常严好她以前喃呢,爸爸,爸爸 妈妈 爸 妈,kinship,亲属称谓,,,,,,,train_9800,sc0029674_173090_183390,sc0029674_173090_183390.wav,wsc_train_audio_text.tsv.gz,这个 妈妈 爸爸 她,45
ADDR_024,Um妈妈妈妈啊啦啦啦妈妈谢谢OhUm嗯Um嗯好的不是Um爸爸嗯不是快点AUm来好Yeah嗯加油嗯拜拜嗯Um好OhUm,爸爸,爸爸 妈妈 爸 妈,kinship,亲属称谓,,,,,,,train_9800,013165507657_wjZVF_2_121640,013165507657_wjZVF_2_121640.wav,wsc_train_audio_text.tsv.gz,妈妈 爸爸,58
ADDR_025,耗子哥哥我把妈妈找回来了我还会游人嘞你看我还会这样丢,妈妈,妈妈 哥哥 妈,kinship,亲属称谓,,,,,,,train_9800,013165476762_6sj2R_43_9580,013165476762_6sj2R_43_9580.wav,wsc_train_audio_text.tsv.gz,妈妈 哥哥 你 我,26
ADDR_026,你又无法理解跟我们爸跟我们妈妈摆龙门阵或时说我在给我们妈摆龙门阵已经不一样了,妈妈,妈妈 爸 妈,kinship,亲属称谓,,,,,,,train_9800,sc0039878_390760_396800,sc0039878_390760_396800.wav,wsc_train_audio_text.tsv.gz,我们 妈妈 你 我 爸 妈,38
ADDR_027,属于妈老汉太能干的娃娃公正点说除了读书读得起我们不管哈他,老汉,老汉 妈,kinship,亲属称谓,,,,,,,train_9800,013165461522_vVgz8_111_6660,013165461522_vVgz8_111_6660.wav,wsc_train_audio_text.tsv.gz,我们 娃娃 老汉 他 妈,28
ADDR_028,就喊妈老汉出点钱屋子出点钱出去留个学是么这反正时差都倒倒一样样,老汉,老汉 妈,kinship,亲属称谓,,,,,,,train_9800,016000200406_oW8Ml_1_6040,016000200406_oW8Ml_1_6040.wav,wsc_train_audio_text.tsv.gz,老汉 妈,31
ADDR_029,出去妇女稀班巴王的回来手手都不想洗想抓了个饭菜吃老妈呢最后老汉拿帕子把它俩撞两下嘛硬是稀脏八脏的的,老汉,老汉 妈,kinship,亲属称谓,,,,,,,train_9800,sc0031338_232980_244430,sc0031338_232980_244430.wav,wsc_train_audio_text.tsv.gz,老汉 它 妈,49
ADDR_030,比如很简单的道理你的父母跟你一路遇到过危险的时候当娃娃突然死脚摘下舍身带的时候也许那一瞬间妈老汉一碰就按过来了就抓你那水,老汉,老汉 妈,kinship,亲属称谓,,,,,,,train_9800,013165470120_9ZqoR_277_11720,013165470120_9ZqoR_277_11720.wav,wsc_train_audio_text.tsv.gz,父母 娃娃 老汉 你 妈,60
ADDR_031,说嘞些你兄弟伙恁个多一个臭点儿就行了噻现在不好借钱喽,兄弟伙,兄弟伙 兄弟,solidarity,亲近/同伴称呼,,,,,,,train_9800,cq00030430_101300_107840,cq00030430_101300_107840.wav,wsc_train_audio_text.tsv.gz,兄弟伙 你,26
ADDR_032,正常挺好跟你说旁边那个兄弟伙哈我粉丝我也在打招呼反正那个也吃不完了我哈在乡上我都走了好我我走了我走了今天好点我知道了好拜拜好诶新年快乐哈新年快乐我走了好拜拜好,兄弟伙,兄弟伙 兄弟,solidarity,亲近/同伴称呼,,,,,,,train_9800,cq00014281_148800_162450,cq00014281_148800_162450.wav,wsc_train_audio_text.tsv.gz,兄弟伙 粉丝 那个 你 我,79
ADDR_033,指名点姓的要见我哈我当时你晓得噻嘞个样子我吓到了噻哥老倌找我会有啥子事喃,哥老倌,哥老倌,solidarity,亲近/同伴称呼,,,,,,,train_9800,016000097223_8lZ1K_10_8340,016000097223_8lZ1K_10_8340.wav,wsc_train_audio_text.tsv.gz,哥老倌 你 我,36
ADDR_034,我的所有粉丝朋友们感谢你们昨天对我的关心,粉丝朋友,粉丝朋友 朋友们 朋友,solidarity,亲近/同伴称呼,,,,,,,train_9800,016000158273_HrBkf_1_5980,016000158273_HrBkf_1_5980.wav,wsc_train_audio_text.tsv.gz,粉丝 你们 朋友 我,20
ADDR_035,又一个楼盘降价了都是我收了房子之前春节的时候单价一万二现在单价只要一万两房总价七十口三房八十几口四房一百一十几棵开发商那次我真的是下雪饼之前为什么我不要拍太贵了现在降价了我觉得值得了兄弟伙些我觉得这次我们要开发商弄痛而且还可以生分期以省分期,兄弟伙些,兄弟伙些 兄弟伙 兄弟,solidarity,亲近/同伴称呼,,,,,,,train_9800,cq0102752_4760_30680,cq0102752_4760_30680.wav,wsc_train_audio_text.tsv.gz,兄弟伙些 我们 我,120
ADDR_036,希望你金榜题名那个粉丝朋友他说川哥能助力我高考理想的重庆大学吗,粉丝朋友,粉丝朋友 朋友,solidarity,亲近/同伴称呼,,,,,,,train_9800,013165496624_dh5vL_16_8460,013165496624_dh5vL_16_8460.wav,wsc_train_audio_text.tsv.gz,朋友 粉丝 那个 哥 你 我 他,31
ADDR_037,四姐跟他女婿买衣服了哎碰到我们的朋友粉丝朋友给我优惠了谢谢你支持嗯你还是给我买一件哦好要得好,粉丝朋友,粉丝朋友 朋友,solidarity,亲近/同伴称呼,,,,,,,train_9800,013165439320_uonrS_7_11820,013165439320_uonrS_7_11820.wav,wsc_train_audio_text.tsv.gz,朋友 粉丝 我们 女婿 姐 你 我 他,46
ADDR_038,大家好我是老尹粉丝朋友要找一个离你近点儿的客户今天他来了这车是幺六年九月上户二零一六款一点六t自动双离合dct七速变速箱自动大天窗后排在出风口恒温分期空调整齐座椅四万公里路路,粉丝朋友,粉丝朋友 朋友,solidarity,亲近/同伴称呼,,,,,,,train_9800,cq00017897_340_23250,cq00017897_340_23250.wav,wsc_train_audio_text.tsv.gz,大家 朋友 粉丝 你 我 他,87
ADDR_039,朋友们二娃家的纸箱到了看嘛货车都来了,朋友们,朋友们 朋友,solidarity,亲近/同伴称呼,,,,,,,train_9800,01316544515_b720E_0_6020,01316544515_b720E_0_6020.wav,wsc_train_audio_text.tsv.gz,朋友,18
ADDR_040,建威将军英明传朋友们大家说同仁怎么样,朋友们,朋友们 朋友,solidarity,亲近/同伴称呼,,,,,,,train_9800,013165529397_1a5t0_89_5900,013165529397_1a5t0_89_5900.wav,wsc_train_audio_text.tsv.gz,大家 朋友,18
ADDR_041,拿钱来购买好朋友们今天耗子哥趁热度的直播,朋友们,朋友们 朋友,solidarity,亲近/同伴称呼,,,,,,,train_9800,016000224413_sJTWr_25_6480,016000224413_sJTWr_25_6480.wav,wsc_train_audio_text.tsv.gz,朋友 哥,20
ADDR_042,一下接上来朋友们都担心老爸子在屋头没有人照顾,朋友们,朋友们 朋友,solidarity,亲近/同伴称呼,,,,,,,train_9800,01316549122_7BxWv_21_5680,01316549122_7BxWv_21_5680.wav,wsc_train_audio_text.tsv.gz,朋友 爸,22
ADDR_043,这真正的蜂王浆朋友们让你们见识一下什么叫蜂王浆,朋友们,朋友们 朋友,solidarity,亲近/同伴称呼,,,,,,,train_9800,016000234017_G25es_112_5560,016000234017_G25es_112_5560.wav,wsc_train_audio_text.tsv.gz,你们 朋友,23
ADDR_044,觉得我绝对是做不到任何人都做不到啊拿你朋友的口吻我跟你说哈你啊兄弟我这辈子都没见过你这种男人啊啊,兄弟,兄弟 朋友,solidarity,亲近/同伴称呼,,,,,,,train_9800,01600014232_evfgZ_32_7080,01600014232_evfgZ_32_7080.wav,wsc_train_audio_text.tsv.gz,兄弟 朋友 男人 你 我,48
ADDR_045,从此以后试卷儿就开始封闭找遍整个中国只有我们那儿吃得到九十八四斤的耙耙虾金汤花园有个不会算账的大排档老板外面九十八一斤的耙耙虾在他那儿可以吃四斤还有椒盐香辣两个味道可以选对于喜欢吃粑粑虾的来说真的太满足了超独特的肥肠包大葱也一定要试哈吃起特别香还有来凤鱼鼻山图那些江湖菜味道也很不错凌晨四点大晚上的和兄弟伙些在坝坝头喝着雪花纯生吃着耙耙虾嘞个才叫安逸哦,兄弟伙些,兄弟伙些 兄弟伙 兄弟,solidarity,亲近/同伴称呼,,,,,,,train_9800,cq0039680_129210_133890,cq0039680_129210_133890.wav,wsc_train_audio_text.tsv.gz,兄弟伙些 老板 我们 他,176
ADDR_046,那个酒店我们最后还有一天的厕所时间现在居然下雪了啊我们现在正在抓紧的复活中那一车是一个大足粉丝朋友早上很早就过来拉的拉了几车了啊然后货不多了没见到他好的朋友们可以点个关注啊视线评论论,粉丝朋友,粉丝朋友 朋友们 朋友,solidarity,亲近/同伴称呼,,,,,,,train_9800,cq0085372_0_16840,cq0085372_0_16840.wav,wsc_train_audio_text.tsv.gz,朋友 粉丝 那个 我们 他,91
ADDR_047,你看好冷超冷兄弟们而且里面有那种爆浆,兄弟,兄弟,solidarity,亲近/同伴称呼,,,,,,,train_9800,cq00018820_102950_106820,cq00018820_102950_106820.wav,wsc_train_audio_text.tsv.gz,兄弟 你,18
ADDR_048,拿给弄一下哎兄弟在哪都你不要兄弟游戏啊,兄弟,兄弟,solidarity,亲近/同伴称呼,,,,,,,train_9800,013165464561_uBKOb_35_6060,013165464561_uBKOb_35_6060.wav,wsc_train_audio_text.tsv.gz,兄弟 你,19
ADDR_049,嘿兄弟问你个问题他们都说我长得很帅你觉得,兄弟,兄弟,solidarity,亲近/同伴称呼,,,,,,,train_9800,sc1003062_8250_12170,sc1003062_8250_12170.wav,wsc_train_audio_text.tsv.gz,兄弟 他们 你 我,20
ADDR_050,嘿兄弟问你个问题他们都说我长得很帅你觉得,兄弟,兄弟,solidarity,亲近/同伴称呼,,,,,,,train_9800,sc1003167_8130_12060,sc1003167_8130_12060.wav,wsc_train_audio_text.tsv.gz,兄弟 他们 你 我,20
ADDR_051,刚刚开张的时候啊你搞点活动哎亲戚朋友,朋友,朋友,solidarity,亲近/同伴称呼,,,,,,,train_9800,016000174758_Qr3Na_8_6380,016000174758_Qr3Na_8_6380.wav,wsc_train_audio_text.tsv.gz,亲戚 朋友 你,18
ADDR_052,来嘛说下儿你的意见嘛我嗯不太想耍朋友,朋友,朋友,solidarity,亲近/同伴称呼,,,,,,,train_9800,01600014963_Lu8pr_10_5700,01600014963_Lu8pr_10_5700.wav,wsc_train_audio_text.tsv.gz,朋友 你 我,18
ADDR_053,我还是单身我还没有耍朋友你有女朋友不,朋友,朋友,solidarity,亲近/同伴称呼,,,,,,,train_9800,013165456843_Qkuzq_127_6680,013165456843_Qkuzq_127_6680.wav,wsc_train_audio_text.tsv.gz,女朋友 朋友 你 我,18
ADDR_054,现在小朋友都不喜欢喝白开水嘎我在你在意,朋友,朋友,solidarity,亲近/同伴称呼,,,,,,,train_9800,013165453857_9yuov_43_5980,013165453857_9yuov_43_5980.wav,wsc_train_audio_text.tsv.gz,朋友 你 我,19
ADDR_055,你又晓得嘛哎呀是朋友啊你的嘛又晓得妈呀,朋友,朋友,solidarity,亲近/同伴称呼,,,,,,,train_9800,013165459446_27LYk_39_6320,013165459446_27LYk_39_6320.wav,wsc_train_audio_text.tsv.gz,朋友 妈 你,19
ADDR_056,哎你哥们是不是还说了一句你兰博基尼啦开出来一起我们去耍噻,哥们,哥们,solidarity,亲近/同伴称呼,,,,,,,train_9800,sc0030588_815420_821370,sc0030588_815420_821370.wav,wsc_train_audio_text.tsv.gz,我们 你 哥,28
ADDR_057,先说下哈那个车是一个手动挡的带天窗带全景天窗的车车况的话非常的好喜欢开手动挡的大哥们赶紧来手动挡绝对是陪生男人的,哥们,哥们,solidarity,亲近/同伴称呼,,,,,,,train_9800,cq0067863_29000_43480,cq0067863_29000_43480.wav,wsc_train_audio_text.tsv.gz,那个 男人 大哥,56
ADDR_058,那我也龙也可以那那我们那我们开吧只有打自闭了怎么感觉你们这个房间看起来像连跪的样子呢打不起精神似的人说话是又没吃饭似的来哥哥们儿说大声点声点大声点是吗,哥们,哥们,solidarity,亲近/同伴称呼,,,,,,,train_9800,sc0030700_84360_99120,sc0030700_84360_99120.wav,wsc_train_audio_text.tsv.gz,这个 哥哥 我们 你们 我,75
ADDR_059,喊你赶场啊你找女同学耍快吃面先回去了,同学,同学,solidarity,亲近/同伴称呼,,,,,,,train_9800,013165514980_CLYtl_21_6240,013165514980_CLYtl_21_6240.wav,wsc_train_audio_text.tsv.gz,同学 你,18
ADDR_060,说爸爸儿儿做在做啥子哎嗯叔老哈那是那是我同学我们在,同学,同学,solidarity,亲近/同伴称呼,,,,,,,train_9800,013165438000_crGRp_39_7280,013165438000_crGRp_39_7280.wav,wsc_train_audio_text.tsv.gz,我们 爸爸 同学 叔 我,25
ADDR_061,朋友们大家好我是幺妹儿今天我们吃这个黄辣丁儿侄儿他们去钓回来的,幺妹儿,幺妹儿 幺妹 妹儿,affectionate,亲昵称呼,,,,,,,train_9800,01316549074_0SW4N_0_8480,01316549074_0SW4N_0_8480.wav,wsc_train_audio_text.tsv.gz,幺妹儿 大家 他们 朋友 这个 我们 侄儿 我,31
ADDR_062,现在女儿没得了啊后来我年纪好非常子女娃儿喜欢留长指甲,女娃儿,女娃儿 娃儿,affectionate,亲昵称呼,,,,,,,train_9800,013165515144_tWBjQ_157_7060,013165515144_tWBjQ_157_7060.wav,wsc_train_audio_text.tsv.gz,女娃儿 女儿 我,26
ADDR_063,好了吗不要说了我都三十五六岁的人了以我这种条件能找这样一个漂亮的女娃儿不容易啊尽管王慧苦口婆心的劝儿子,女娃儿,女娃儿 娃儿,affectionate,亲昵称呼,,,,,,,train_9800,cq00030164_130330_141490,cq00030164_130330_141490.wav,wsc_train_audio_text.tsv.gz,女娃儿 儿子 我,51
ADDR_064,重庆话接地气儿又巴适当外省人不一定听得懂重庆有个村儿的崽儿一看到幺妹儿觉得很喜欢她想跟她耍朋友终于有一天鼓起勇气写了一封巴巴适适的情书都寄了出去,幺妹儿,幺妹儿 幺妹 妹儿,affectionate,亲昵称呼,,,,,,,train_9800,01600026922_3AR41_0_12260,01600026922_3AR41_0_12260.wav,wsc_train_audio_text.tsv.gz,幺妹儿 朋友 她,72
ADDR_065,做事是做事了我讲男娃儿在女娃儿面前我讲男娃在女娃的面前,女娃儿,女娃儿 男娃儿 娃儿,affectionate,亲昵称呼,,,,,,,train_9800,cq00005741_178570_185490,cq00005741_178570_185490.wav,wsc_train_audio_text.tsv.gz,女娃儿 男娃儿 男娃 女娃 我,27
ADDR_066,那你是外行你是外行幺妹儿手机呢是的,幺妹儿,幺妹儿 幺妹 妹儿,affectionate,亲昵称呼,,,,,,,train_9800,013165447320_tDJO1_51_5680,013165447320_tDJO1_51_5680.wav,wsc_train_audio_text.tsv.gz,幺妹儿 你,17
ADDR_067,团团你妈妈今天好高兴哟幺儿我们今天晚上吃啥子妈,幺儿,幺儿,affectionate,亲昵称呼,,,,,,,train_9800,013165439331_Hpr86_11_7300,013165439331_Hpr86_11_7300.wav,wsc_train_audio_text.tsv.gz,幺儿 我们 妈妈 你 妈,23
ADDR_068,幺儿你实在想读书也要得再骗你为了老汉儿去纹个花币嘛,幺儿,幺儿,affectionate,亲昵称呼,,,,,,,train_9800,013165443329_p9su8_15_8600,013165443329_p9su8_15_8600.wav,wsc_train_audio_text.tsv.gz,老汉儿 幺儿 你,25
ADDR_069,幺儿回吃饭喽你这个房子好巴适你站床上上就会喊幺儿儿吃饭饭,幺儿,幺儿,affectionate,亲昵称呼,,,,,,,train_9800,016000259066_tjRFA_0_6880,016000259066_tjRFA_0_6880.wav,wsc_train_audio_text.tsv.gz,这个 幺儿 你,28
ADDR_070,但反过来讲你看你要会教育的刚刚妈妈你们咋把我生出来的哦幺儿是这样子的啊,幺儿,幺儿,affectionate,亲昵称呼,,,,,,,train_9800,013165447334_Hq47T_152_9580,013165447334_Hq47T_152_9580.wav,wsc_train_audio_text.tsv.gz,幺儿 你们 妈妈 你 我,35
ADDR_071,你长得好帅哟是不是哦嘿我前女友一些都没说过我帅哥幺儿他们懂都不懂你长得恁个像吴彦祖,幺儿,幺儿,affectionate,亲昵称呼,,,,,,,train_9800,013165467571_dM3DF_12_11120,013165467571_dM3DF_12_11120.wav,wsc_train_audio_text.tsv.gz,他们 帅哥 幺儿 你 我,41
ADDR_072,那边老师明天喊你当着全班的娃儿都要都要,娃儿,娃儿,affectionate,亲昵称呼,,,,,,,train_9800,70421923224_9RYks_74_3840,70421923224_9RYks_74_3840.wav,wsc_train_audio_text.tsv.gz,娃儿 老师 你,19
ADDR_073,吃嘛快吃弟娃儿吃快吃吃我该吃嘛快吃很甜,娃儿,娃儿,affectionate,亲昵称呼,,,,,,,train_9800,013165500787_y9LTj_52_6740,013165500787_y9LTj_52_6740.wav,wsc_train_audio_text.tsv.gz,弟娃儿 我,19
ADDR_074,我们衣服没逛到出来那两个娃儿非得套圈圈,娃儿,娃儿,affectionate,亲昵称呼,,,,,,,train_9800,013165507014_0HUkG_11_6760,013165507014_0HUkG_11_6760.wav,wsc_train_audio_text.tsv.gz,娃儿 我们,19
